N_Name,Class,Direction,Time
N_12500,car,route_9,637.9035524999999
N_12729,car,route_10,639.3434257
N_12736,car,route_9,639.6797688
N_12747,car,route_9,639.9284933
N_12648,car,route_9,640.0127957
N_12751,car,route_9,640.0959273
N_12755,car,route_9,640.2670646
N_12758,motorcycle,route_9,640.433658
N_12763,motorcycle,route_9,640.6028541
N_12765,car,route_9,640.6028815999999
N_12656,car,route_9,641.5999854
N_12629,car,route_9,643.9401455999999
N_12865,motorcycle,route_9,644.3664156
N_12883,motorcycle,route_9,644.8755735
N_12685,car,route_10,645.0501551
N_12897,motorcycle,route_9,645.3122066999999
N_12714,car,route_10,648.5468169
N_12942,car,route_9,648.6307907
N_13070,motorcycle,route_9,651.2135324999999
N_12975,car,route_10,652.7110154
N_13116,motorcycle,route_9,653.6367346
N_13144,motorcycle,route_9,654.4061351
N_13145,motorcycle,route_9,654.7890221
N_13247,motorcycle,route_9,658.4154349
N_13253,motorcycle,route_9,658.5681925
N_13254,motorcycle,route_9,658.7209927
N_13257,motorcycle,route_9,658.8745471
N_13308,motorcycle,route_9,661.1930218
N_13313,motorcycle,route_9,661.4221178
N_13314,motorcycle,route_9,661.4979328
N_13317,motorcycle,route_9,661.8824509
N_13324,motorcycle,route_9,661.9582356999999
N_13386,motorcycle,route_9,664.8085116999999
N_13389,motorcycle,route_9,664.9611835
N_13395,motorcycle,route_9,665.5016863999999
N_13399,motorcycle,route_9,665.9649223
N_13401,motorcycle,route_9,665.9649458
N_13407,motorcycle,route_9,666.2756755
N_13426,car,route_10,667.3564745
N_13450,car,route_10,668.3595406
N_13479,motorcycle,route_9,668.8950633
N_13482,motorcycle,route_9,669.1290453
N_13478,motorcycle,route_9,669.2833183
N_13483,motorcycle,route_9,669.4343929
N_13494,motorcycle,route_9,669.5857910999999
N_13419,car,route_9,671.3508535999999
N_13563,car,route_9,672.2684203
N_13579,motorcycle,route_9,672.8092163
N_13587,motorcycle,route_9,673.0402643
N_13607,motorcycle,route_9,673.8845097999999
N_13669,motorcycle,route_9,677.5635548
N_13679,car,route_10,678.1090611
N_13692,truck,route_10,679.3610427
N_13676,car,route_9,686.2708527
N_13796,car,route_9,688.5697882
N_13800,car,route_9,689.1049095
N_13801,car,route_9,689.3360648
N_13808,car,route_9,690.7890811
N_13812,car,route_9,691.1670027
N_13813,truck,route_9,691.5519529
N_13820,truck,route_9,693.0175022
N_13838,truck,route_9,694.397895
N_13850,car,route_9,696.2385727
N_13864,car,route_9,698.0860959
N_13868,car,route_9,698.2404108
N_13936,car,route_11,706.3341785
N_13953,truck,route_9,710.769745
N_13966,truck,route_9,711.2273673999999
N_13970,truck,route_9,711.8348176
N_13982,truck,route_9,713.1331409
N_13986,truck,route_9,713.9816151
N_13999,truck,route_9,714.9751525
N_14000,truck,route_9,715.507101
N_14017,car,route_9,716.8035959
N_14031,truck,route_9,719.1032984
N_14034,truck,route_9,719.5608699
N_14037,truck,route_9,719.7888438
N_14047,truck,route_9,721.5499599999999
N_14050,truck,route_9,722.0079618
N_14064,truck,route_9,724.0732452999999
N_14066,truck,route_9,724.8377681
N_14083,car,route_10,726.1431646
N_14081,truck,route_9,727.1393889
N_14107,truck,route_9,731.0458888
N_14119,bus,route_9,731.9678944
N_14112,car,route_10,732.1967158
N_14151,bus,route_9,736.0916208
N_14173,bus,route_9,739.4045103999999
N_14180,bus,route_9,740.0127881999999
N_14186,bus,route_9,740.2460156999999
N_14195,car,route_9,741.1671739999999
N_14201,car,route_9,741.5531909
N_14205,bus,route_9,741.7964928
N_14227,bus,route_9,743.5142931
N_14250,bus,route_9,745.5535072
N_14345,truck,route_9,756.0508877999999
N_14352,truck,route_9,756.3550409
N_14519,car,route_9,781.2748044
N_14523,car,route_11,781.5065099999999
N_14527,car,route_11,781.7375493
N_14530,car,route_11,781.888557
N_14509,truck,route_9,782.1199962
N_14688,bus,route_9,799.4330436
N_14692,bus,route_9,799.741865
